3.135748838250599357e-01 8.385255285205087117e-02 3.906250000000000000e-03
5.370878055955891073e-01 1.435888939079170701e-01 7.812500000000000000e-03
6.299924290402687532e-01 1.684186989491482933e-01 1.171875000000000000e-02
7.520385606424083713e-01 2.010368996517433171e-01 1.562500000000000000e-02
4.869108450947459699e-01 9.344856797024428396e-02 2.148437500000000000e-02
5.525855816460764069e-01 1.477308487820509220e-01 2.734375000000000000e-02
6.713157128624768211e-01 1.794628111033712003e-01 3.125000000000000000e-02
7.992415591153566590e-01 1.639068167182579638e-01 3.710937500000000000e-02
4.222530597769612037e-01 1.128980171257329690e-01 4.296875000000000000e-02
5.592478128998746856e-01 1.063441510056823969e-01 4.882812500000000000e-02
7.006489533057030927e-01 1.873024493735436224e-01 5.468750000000000000e-02
3.981833860288594429e-01 8.006919951821889203e-02 6.054687500000000000e-02
3.751236764681761260e-01 7.158443338121513178e-02 6.835937500000000000e-02
4.593919479651910609e-01 9.493254330730022117e-02 7.617187500000000000e-02
3.135192504829713012e-01 6.183639948087498589e-02 8.398437500000000000e-02
2.907027398866614543e-01 5.713830271279506101e-02 9.179687500000000000e-02
2.027839328789816098e-01 3.921731425307993513e-02 9.960937500000000000e-02
1.890860153404336497e-01 3.611670608723277498e-02 1.074218750000000000e-01
2.048272476445663903e-01 3.203432211829388560e-02 1.171875000000000000e-01
2.392186114621404902e-01 4.532455278950582589e-02 1.269531250000000000e-01
1.440659550373604436e-01 2.232304340141139445e-02 1.367187500000000000e-01
1.273094958466690074e-01 2.011204756021141987e-02 1.484375000000000000e-01
1.424094552392381197e-01 2.725361697437250763e-02 1.582031250000000000e-01
1.234410497698244930e-01 1.748279289149996807e-02 1.699218750000000000e-01
9.482476297475360416e-02 1.507433118293328989e-02 1.835937500000000000e-01
7.422417620443776121e-02 1.179115021807443202e-02 1.953125000000000000e-01
5.016405677587005424e-02 6.737305549942529739e-03 2.089843750000000000e-01
6.197130666855125980e-02 9.757564898933597519e-03 2.226562500000000000e-01
4.547101295706267032e-02 6.575620302642930584e-03 2.363281250000000000e-01
4.999496753787295578e-02 7.128725478860131921e-03 2.519531250000000000e-01
5.113225321711224042e-02 6.392139498809218563e-03 2.695312500000000000e-01
5.948419024214073730e-02 8.002467764386915830e-03 2.871093750000000000e-01
4.599021052511156199e-02 5.551619951412250023e-03 3.046875000000000000e-01
4.391588202656482309e-02 5.383065080521196727e-03 3.242187500000000000e-01
3.379531296988062122e-02 4.122670707936813492e-03 3.437500000000000000e-01
